Renal_failure	Kidney_failure	4
Abortion	Miscarriage	3.225
Heart	Myocardium	3.075
Stroke	Infarct	2.85
Delusion	Schizophrenia	2.4
Calcification	Stenosis	2.175
Tumor_metastasis	Adenocarcinoma	2.025
Congestive_heart_failure	Pulmonary_edema	1.8
Pulmonary_fibrosis	Malignant_tumor_of_lung	1.475
Diarrhea	Stomach_cramps	1.55
Mitral_stenosis	Atrial_fibrillation	1.55
Brain_tumor	Intracranial_hemorrhage	1.475
Antibiotic	Allergy	1.325
Pulmonary_embolus	Myocardial_infarction	1.325
Carpal_tunnel_syndrome	Osteoarthritis	1.325
Rheumatoid_arthritis	Lupus	1.325
Acne	Syringe	1.25
Diabetes_mellitus	Hypertension	1.25
Cortisone	Total_knee_replacement	1.175
Cholangiocarcinoma	Colonoscopy	1.075
Lymphoid_hyperplasia	Laryngeal_cancer	1.075
Appendicitis	Osteoporosis	1
Depression	Cellulitis	1
Hyperlipidemia	Tumor_metastasis	1
Multiple_sclerosis	Psychosis	1
Peptic_ulcer_disease	Myopia	1
Rectal_polyp	Aorta	1
Varicose_vein	Entire_knee_meniscus	1
Xerostomia	Alcoholic_cirrhosis	1
